Job number,Occupancyissueddate,BIN,Borough,Housenumber,Streetname,Block,Lot,Noofdwellingunits,Buildingoccupancygroupclassification,CofilingtypeLabel,CofO Status
101305375-01,6/10/22 13:09,1026911,Manhattan,555,WEST   42 STREET,1071,1,418,J2: 3 FAMILY,Renewal Without Change,CO Issued
101395759-01,1/19/22 11:00,1047134,Manhattan,1125,5 AVENUE,1505,69,14,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101395759-01,4/20/22 14:10,1047134,Manhattan,1125,5 AVENUE,1505,69,14,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101418510-01,1/20/22 18:35,1080266,Manhattan,416,WEST   13 STREET,645,29,1,E - BUSINESS,Renewal Without Change,CO Issued
101418510-01,4/13/22 15:17,1080266,Manhattan,416,WEST   13 STREET,645,29,1,E - BUSINESS,Renewal Without Change,CO Issued
101434690-01,5/24/22 10:32,1046251,Manhattan,500,EAST   62 STREET,1474,31,197,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
101438197-01,1/28/22 16:39,1043058,Manhattan,1032,LEXINGTON AVENUE,1408,56,1,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101438197-01,5/5/22 11:56,1043058,Manhattan,1032,LEXINGTON AVENUE,1408,56,1,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101470757-01,5/13/22 11:14,1024665,Manhattan,234,WEST   42 STREET,1013,12,,F-1A - ASSEMBLY (THEATERS),Renewal With Change,CO Issued
101534261-01,4/7/22 10:41,1000844,Manhattan,15,SOUTH WILLIAM STREET,29,46,7,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101551125-01,2/15/22 12:00,1077284,Manhattan,10,ROCKEFELLER PLAZA,1264,5,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101569269-01,4/8/22 16:32,1091588,Manhattan,25,GREAT JONES STREET,530,7508,6,J2: 3 FAMILY,Renewal With Change,CO Issued
101569269-01,6/21/22 10:42,1091588,Manhattan,25,GREAT JONES STREET,530,7508,6,J2: 3 FAMILY,Renewal With Change,CO Issued
101574137-01,4/29/22 11:08,1030104,Manhattan,107,WEST   74 STREET,1146,126,10,RES - RESID. BLDG - OLD CODE,Final,CO Issued
101606923-01,5/10/22 15:55,1001127,Manhattan,90,JOHN STREET,69,7502,221,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
101624556-01,2/11/22 12:36,1035256,Manhattan,50,CENTRAL PARK SOUTH,1274,7503,259,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
101624556-01,5/10/22 8:53,1035256,Manhattan,50,CENTRAL PARK SOUTH,1274,7503,259,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
101625877-01,1/21/22 14:26,1009615,Manhattan,36,WEST   13 STREET,576,7504,7,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101625877-01,2/16/22 9:59,1009615,Manhattan,36,WEST   13 STREET,576,7504,7,RES - RESID. BLDG - OLD CODE,Renewal With Change,CO Issued
101683901-01,3/18/22 15:27,1002857,Manhattan,189,HUDSON STREET,222,7502,27,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
101683901-01,6/7/22 16:19,1002857,Manhattan,189,HUDSON STREET,222,7502,27,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
101706977-01,1/26/22 14:26,1085867,Manhattan,102,NORTH END AVENUE,16,7512,463,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
101725000-01,4/11/22 16:08,1040802,Manhattan,655,MADISON AVENUE,1375,21,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101752569-01,1/28/22 9:37,1007052,Manhattan,473,BROADWAY,474,7504,14,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101752569-01,5/4/22 15:52,1007052,Manhattan,473,BROADWAY,474,7504,14,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101759429-01,2/9/22 10:28,1013850,Manhattan,241,WEST   17 STREET,767,17,2,R-3 - RESIDENTIAL: 1 & 2 FAMILY HOUSES,Renewal Without Change,CO Issued
101792909-01,3/9/22 12:48,1080226,Manhattan,75,EIGHTH AVENUE,629,7504,11,C - MERCANTILE,Renewal Without Change,CO Issued
101792909-01,5/31/22 14:19,1080226,Manhattan,75,EIGHTH AVENUE,629,7504,11,C - MERCANTILE,Renewal Without Change,CO Issued
101795470-01,2/10/22 13:17,1083860,Manhattan,630,FIFTH AVENUE,1266,1,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101837675-01,3/18/22 10:41,1024742,Manhattan,1567,BROADWAY,1018,7501,550,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
101939002-01,4/18/22 17:23,1002933,Manhattan,480,CANAL STREET,225,8,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101955797-01,2/1/22 11:41,1083181,Manhattan,110,EAST   42 STREET,1296,7501,1,B - BUSINESS,Renewal Without Change,CO Issued
101955797-01,4/19/22 16:09,1083181,Manhattan,110,EAST   42 STREET,1296,7501,1,B - BUSINESS,Renewal Without Change,CO Issued
101955797-01,4/27/22 9:35,1083181,Manhattan,110,EAST   42 STREET,1296,7501,1,B - BUSINESS,Renewal Without Change,CO Issued
101958632-01,3/15/22 8:58,1014149,Manhattan,213,WEST   23 STREET,773,7502,12,J2: RESIDENTIAL,Renewal Without Change,CO Issued
101982240-01,5/5/22 14:30,1013552,Manhattan,312,WEST   34 STREET,757,22,333,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
101995637-01,3/7/22 9:44,1041101,Manhattan,838,FIFTH AVENUE,1379,7504,18,A-2 - ASSEMBLY: EATING & DRINKING,Renewal Without Change,CO Issued
101995637-01,6/6/22 14:02,1041101,Manhattan,838,FIFTH AVENUE,1379,7504,18,A-2 - ASSEMBLY: EATING & DRINKING,Renewal Without Change,CO Issued
101998652-01,1/11/22 11:59,1016248,Manhattan,29,EAST   21 STREET,850,23,,COM - COMMERCIAL BUILDINGS - OLD CODE,Initial,CO Issued
102002547-01,3/17/22 14:19,1009706,Manhattan,65,WEST   13 STREET,577,7502,77,J2: RESIDENTIAL,Renewal With Change,CO Issued
102002547-01,6/9/22 12:55,1009706,Manhattan,65,WEST   13 STREET,577,7502,77,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102008159-01,3/8/22 13:35,1053305,Manhattan,16,WEST  120 STREET,1718,143,3,RES - RESID. BLDG - OLD CODE,Initial,CO Issued
102008159-01,3/22/22 12:50,1053305,Manhattan,16,WEST  120 STREET,1718,143,3,RES - RESID. BLDG - OLD CODE,Final,CO Issued
102041737-01,6/10/22 10:40,1022694,Manhattan,142,WEST   49 STREET,1001,55,113,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
102112759-01,3/17/22 16:41,1075702,Manhattan,47,CHURCH STREET,80,4,,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
102112759-01,6/7/22 14:57,1075702,Manhattan,47,CHURCH STREET,80,4,,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
102160288-01,2/16/22 8:48,1048099,Manhattan,116,EAST   89 STREET,1517,58,50,J2: 3 FAMILY,Renewal Without Change,CO Issued
102160288-01,5/10/22 12:47,1048099,Manhattan,116,EAST   89 STREET,1517,58,50,J2: 3 FAMILY,Renewal Without Change,CO Issued
102167067-01,1/19/22 11:08,1059273,Manhattan,565,MANHATTAN AVENUE,1950,14,102,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102181648-01,5/17/22 14:52,1014716,Manhattan,135,WEST   18 STREET,794,17,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal With Change,CO Issued
102182914-01,4/21/22 14:58,1017205,Manhattan,50,PARK AVENUE,867,33,122,J2: 3 FAMILY,Final,CO Issued
102213187-01,3/31/22 14:47,1028823,Manhattan,351,COLUMBUS AVENUE,1129,64,36,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal With Change,CO Issued
102213187-01,6/13/22 12:13,1028823,Manhattan,351,COLUMBUS AVENUE,1129,64,36,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102227350-01,6/1/22 17:41,1078853,Manhattan,694,EIGHTH AVENUE,1015,61,0,F-4 - ASSEMBLY (RESTAURANTS),Final,CO Issued
102243948-01,1/27/22 14:47,1001598,Manhattan,112,READE STREET,146,11,3,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
102243948-01,5/2/22 13:58,1001598,Manhattan,112,READE STREET,146,11,3,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
102252410-01,2/24/22 17:10,1080230,Manhattan,132,PERRY STREET,632,7503,11,J2: 3 FAMILY,Renewal Without Change,CO Issued
102284804-01,4/20/22 11:18,1008323,Manhattan,174,BLEECKER STREET,526,62,4,RES - RESID. BLDG - OLD CODE,Initial,CO Issued
102292010-01,3/25/22 9:30,1002351,Manhattan,84,WALKER STREET,196,27,2,COM - COMMERCIAL BUILDINGS - OLD CODE,Initial,CO Issued
102349950-01,2/9/22 17:15,1084594,Manhattan,18,1 PLACE,16,10,,F-3 - ASSEMBLY (MUSEUMS),Renewal Without Change,CO Issued
102349950-01,5/12/22 11:00,1084594,Manhattan,18,1 PLACE,16,10,,F-3 - ASSEMBLY (MUSEUMS),Renewal Without Change,CO Issued
102352160-01,5/9/22 11:21,1057753,Manhattan,160,WEST  123 STREET,1907,58,4,RES - RESID. BLDG - OLD CODE,Final,CO Issued
102423968-01,3/17/22 15:02,1002192,Manhattan,32,6 AVENUE,192,1,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102423968-01,6/13/22 10:01,1002192,Manhattan,32,6 AVENUE,192,1,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102428302-01,2/1/22 15:06,1002032,Manhattan,349,GREENWICH STREET,180,7511,5,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102428302-01,4/28/22 12:24,1002032,Manhattan,349,GREENWICH STREET,180,7511,5,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102428302-01,6/9/22 11:24,1002032,Manhattan,349,GREENWICH STREET,180,7511,5,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
102429677-01,3/11/22 14:30,1089990,Manhattan,101,GREENE STREET,500,7505,6,RES - RESID. BLDG - OLD CODE,Renewal With Change,CO Issued
102440903-01,3/25/22 13:01,1006906,Manhattan,242,EAST   14 STREET,469,30,83,J-2 - RESIDENTIAL APT HOUSE,Renewal With Change,CO Issued
102441350-01,1/4/22 9:53,1086160,Manhattan,136,EAST 59 STREET,1313,7501,105,E - BUSINESS,Renewal With Change,CO Issued
102441350-01,4/7/22 16:30,1086160,Manhattan,136,EAST 59 STREET,1313,7501,105,E - BUSINESS,Renewal Without Change,CO Issued
102461195-01,3/15/22 12:25,1082634,Manhattan,17,BATTERY PLACE,15,7501,492,J2: 3 FAMILY,Renewal Without Change,CO Issued
102461195-01,6/6/22 12:25,1082634,Manhattan,17,BATTERY PLACE,15,7501,492,J2: 3 FAMILY,Renewal Without Change,CO Issued
102491590-01,2/9/22 8:57,1087549,Manhattan,40,DELANCY STREET,420,7501,51,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
102494365-01,4/6/22 17:03,1053622,Manhattan,35,WEST  127 STREET,1725,21,4,R-2 - RESIDENTIAL: APARTMENT HOUSES,Final,CO Issued
102543197-01,4/13/22 13:36,1008419,Manhattan,648,BROADWAY,529,3,1,B - BUSINESS,Renewal Without Change,CO Issued
102611363-01,2/9/22 15:52,1007109,Manhattan,40,THOMPSON STREET,476,62,,COM - COMMERCIAL BUILDINGS - OLD CODE,Final,CO Issued
102615573-01,1/20/22 17:33,1013599,Manhattan,535,8 AVENUE,760,43,,E - BUSINESS,Initial,CO Issued
102615573-01,2/18/22 16:08,1013599,Manhattan,535,8 AVENUE,760,43,,E - BUSINESS,Renewal With Change,CO Issued
102639290-01,1/7/22 10:22,1024662,Manhattan,218,WEST   42 STREET,1013,41,,C - MERCANTILE,Renewal Without Change,CO Issued
102639290-01,5/17/22 14:42,1024662,Manhattan,218,WEST   42 STREET,1013,41,,C - MERCANTILE,Renewal Without Change,CO Issued
102658786-01,1/19/22 10:55,1001025,Manhattan,14,WALL STREET,46,9,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102658786-01,4/15/22 11:24,1001025,Manhattan,14,WALL STREET,46,9,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102659954-01,6/6/22 11:34,1079150,Manhattan,49,WARREN STREET,133,7506,10,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
102676793-01,1/28/22 16:13,1088453,Manhattan,127,EAST  107 STREET,1635,17,108,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102676793-01,4/21/22 11:16,1088453,Manhattan,127,EAST  107 STREET,1635,17,108,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102688021-01,6/27/22 13:04,1001096,Manhattan,21,MAIDEN LANE,65,6,30,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102690081-01,1/31/22 14:42,1035385,Manhattan,420,LEXINGTON AVENUE,1280,7501,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102690081-01,4/28/22 12:45,1035385,Manhattan,420,LEXINGTON AVENUE,1280,7501,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102690571-01,2/9/22 9:13,1012268,Manhattan,601,WEST   26 STREET,672,1,0,D-1 - INDUSTRIAL (MODERATE HAZARD),Renewal Without Change,CO Issued
102691856-01,4/20/22 12:17,1035759,Manhattan,540,MADISON AVENUE,1290,56,,E - BUSINESS,Renewal Without Change,CO Issued
102715279-01,1/27/22 16:24,1030866,Manhattan,250,WEST   77 STREET,1168,56,273,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
102754672-01,2/15/22 8:47,1012836,Manhattan,450,WEST   31 STREET,728,60,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102754672-01,5/11/22 8:50,1012836,Manhattan,450,WEST   31 STREET,728,60,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102798849-01,4/27/22 14:36,1001271,Manhattan,55,ANN STREET,92,13,3,RES - RESID. BLDG - OLD CODE,Final,CO Issued
102801951-01,6/22/22 10:26,1087662,Manhattan,128,MOTT STREET,238,7501,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102802013-01,3/29/22 10:21,1085673,Manhattan,105,WEST  125 STREET,1910,7501,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102802013-01,6/28/22 17:03,1085673,Manhattan,105,WEST  125 STREET,1910,7501,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102833891-01,2/9/22 9:50,1035071,Manhattan,9,WEST   57 STREET,1273,22,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102833891-01,4/27/22 14:40,1035071,Manhattan,9,WEST   57 STREET,1273,22,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
102846388-01,5/4/22 16:58,1003009,Manhattan,309,CANAL STREET,231,5,18,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
102846388-01,6/27/22 16:01,1003009,Manhattan,309,CANAL STREET,231,5,18,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
102852931-01,3/9/22 14:22,1079153,Manhattan,270,BROADWAY,135,7504,88,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102852931-01,6/1/22 9:11,1079153,Manhattan,270,BROADWAY,135,7504,88,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102873669-01,3/8/22 13:19,1010404,Manhattan,95,MORTON STREET,603,28,,E - EDUCATIONAL,Renewal Without Change,CO Issued
102896494-01,1/28/22 15:41,1001410,Manhattan,110,CHURCH STREET,126,27,391,J2: 3 FAMILY,Renewal Without Change,CO Issued
102896494-01,4/25/22 15:41,1001410,Manhattan,110,CHURCH STREET,126,27,391,J2: 3 FAMILY,Renewal Without Change,CO Issued
102904467-01,1/24/22 13:11,1081601,Manhattan,125,WEST  125 STREET,1910,7501,,C - MERCANTILE,Renewal Without Change,CO Issued
102916855-01,3/2/22 13:06,1086018,Manhattan,2828,BROADWAY,1881,3,,E - BUSINESS,Renewal Without Change,CO Issued
102916855-01,5/27/22 11:24,1086018,Manhattan,2828,BROADWAY,1881,3,,E - BUSINESS,Renewal Without Change,CO Issued
102918498-01,5/18/22 14:34,1087558,Manhattan,501,BROADWAY,484,7501,9,C - MERCANTILE,Renewal Without Change,CO Issued
102921527-01,3/29/22 11:56,1080776,Manhattan,22,EAST   29 STREET,858,7503,365,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
102921527-01,6/17/22 8:50,1080776,Manhattan,22,EAST   29 STREET,858,7503,365,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
102926292-01,4/7/22 14:51,1078064,Manhattan,259,BOWERY,427,7501,4,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
102929583-01,3/14/22 16:43,1080019,Manhattan,575,BROADWAY,512,23,,B - BUSINESS,Renewal Without Change,CO Issued
102929583-01,6/10/22 14:09,1080019,Manhattan,575,BROADWAY,512,23,,B - BUSINESS,Renewal Without Change,CO Issued
102969682-01,5/24/22 11:57,1055659,Manhattan,465,CPW,1842,32,117,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
102980142-01,3/29/22 14:37,1018967,Manhattan,554,3 AVENUE,892,7502,135,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102980142-01,6/30/22 10:42,1018967,Manhattan,554,3 AVENUE,892,7502,135,J2: RESIDENTIAL,Renewal Without Change,CO Issued
102995653-01,3/21/22 11:39,1015877,Manhattan,358,5 AVENUE,836,35,,COM - COMMERCIAL BUILDINGS - OLD CODE,Final,CO Issued
103017110-01,4/12/22 15:13,1015272,Manhattan,1033,AVENUE OF THE AMERICAS,814,7501,446,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
103036974-01,6/10/22 14:12,1014252,Manhattan,300,7 AVENUE,777,37,,PUB - PUBLIC BLDG - OLD CODE,Renewal Without Change,CO Issued
103045697-01,1/31/22 15:38,1086030,Manhattan,1490,LEXINGTON AVENUE,1624,15,211,J2: RESIDENTIAL,Renewal Without Change,CO Issued
103045697-01,4/27/22 11:42,1086030,Manhattan,1490,LEXINGTON AVENUE,1624,15,211,J2: RESIDENTIAL,Renewal Without Change,CO Issued
103053552-01,5/13/22 15:29,1007213,Manhattan,59,CROSBY STREET,482,10,4,COM - COMMERCIAL BUILDINGS - OLD CODE,Initial,CO Issued
103093000-01,4/21/22 10:55,1003775,Manhattan,1,ELDRIDGE STREET,292,7501,8,B - BUSINESS,Renewal With Change,CO Issued
103093938-01,5/11/22 10:29,1001446,Manhattan,9,MURRAY STREET,134,7503,20,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
103116101-01,2/22/22 10:41,1036049,Manhattan,1,EAST   57 STREET,1293,1,,E - BUSINESS,Renewal Without Change,CO Issued
103116101-01,5/24/22 10:45,1036049,Manhattan,1,EAST   57 STREET,1293,1,,E - BUSINESS,Renewal Without Change,CO Issued
103124414-01,2/10/22 13:47,1015241,Manhattan,1356,BROADWAY,812,29,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
103124414-01,5/10/22 16:56,1015241,Manhattan,1356,BROADWAY,812,29,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
