BBL,BORO,BOROUGH,BLOCK,LOT,CD,HOUSE NUMBER,STREET NAME,ALTERNATE ADDRESS,PARCEL NAME,AGENCY,PRIMARY USE CODE,PRIMARY USE TEXT,OWNER,OWNED/LEASED,U-F-USE-CODE,U-F-USE-TEXT,U-A-USE-CODE,U-A-USE-TEXT,USE STATUS,X COORD,Y COORD,
1000360012,1,MANHATTAN,00036,0012,101,,PIER 9,PIER 9,FORMER PIER 9,EDC,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0982265,0195125,
1000360018,1,MANHATTAN,00036,0018,101,,PIER 11,PIER 11,PIER 11,DOT,0811,FERRY TERMINAL,C,O,,,,,C,0982604,0195397,
1000360018,1,MANHATTAN,00036,0018,101,,PIER 11,PIER 11,PIER 11,DSBS,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0982604,0195397,
1000360018,1,MANHATTAN,00036,0018,101,,PIER 11,PIER 11,PIER 11,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1920,SHORT-TERM AGREEMENT,C,0982604,0195397,
1000360025,1,MANHATTAN,00036,0025,101,,PIER 13,PIER 13,PIER 13,DSBS,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0982861,0195606,
1000360025,1,MANHATTAN,00036,0025,101,,PIER 13,PIER 13,PIER 13,EDC,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0982861,0195606,
1000360025,1,MANHATTAN,00036,0025,101,,PIER 13,PIER 13,PIER 13,PARKS,0440,PARK,C,O,,,,,C,0982861,0195606,
1000360030,1,MANHATTAN,00036,0030,101,,PIER 14,PIER 14,PIER 14,DSBS,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983115,0195798,
1000360030,1,MANHATTAN,00036,0030,101,,PIER 14,PIER 14,PIER 14,EDC,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983115,0195798,
1000360030,1,MANHATTAN,00036,0030,101,,PIER 14,PIER 14,PIER 14,PARKS,0440,PARK,C,O,,,,,C,0983115,0195798,
1000370023,1,MANHATTAN,00037,0023,101,151,FRONT STREET,151 FRONT STREET,,DOI,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0982721,0196225,
1000370023,1,MANHATTAN,00037,0023,101,151,FRONT STREET,151 FRONT STREET,,OCA,0100,OFFICE,P,L,,,,,C,0982721,0196225,
1000420031,1,MANHATTAN,00042,0031,101,80,MAIDEN LANE,80 MAIDEN LANE,DOI HEADQUARTERS,CFB,0100,OFFICE,P,L,,,,,C,0982087,0196887,
1000420031,1,MANHATTAN,00042,0031,101,80,MAIDEN LANE,80 MAIDEN LANE,DOI HEADQUARTERS,DCAS,0130,BOROUGH OFFICE,P,L,,,,,C,0982087,0196887,
1000420031,1,MANHATTAN,00042,0031,101,80,MAIDEN LANE,80 MAIDEN LANE,DOI HEADQUARTERS,EDUC,0230,OFFICE LEASED BY EDUC,P,L,,,,,C,0982087,0196887,
1000420031,1,MANHATTAN,00042,0031,101,80,MAIDEN LANE,80 MAIDEN LANE,DOI HEADQUARTERS,MAYOR,0100,OFFICE,P,L,,,,,C,0982087,0196887,
1000477501,1,MANHATTAN,00047,7501,101,120,BROADWAY,120 BROADWAY,CITY PLANNING HQ,PLAN,0100,OFFICE,P,L,,,,,C,0981333,0197300,
1000510015,1,MANHATTAN,00051,0015,101,88-92,TRINITY PLACE,88-92 TRINITY PLACE,,EDUC,0213,ACADEMIC HIGH SCHOOL,P,L,,,,,C,0980794,0197574,
1000520001,1,MANHATTAN,00052,0001,101,96,TRINITY PLACE,96 TRINITY PLACE,HS OF ECONOMICS & FINANCE,EDUC,0213,ACADEMIC HIGH SCHOOL,P,L,,,,,C,0980830,0197688,
1000520022,1,MANHATTAN,00052,0022,101,124,LIBERTY STREET,124 LIBERTY STREET,ENG 10  LAD 10,FIRE,0520,FIREHOUSE,C,O,,,,,C,0980756,0197888,
1000551026,1,MANHATTAN,00055,1026,101,69,WEST STREET,69 WEST STREET,,NYPD,0100,OFFICE,P,L,,,,,C,0980186,0197450,
1000580001,1,MANHATTAN,00058,0001,101,1-07,WORLD TRADE CENTER,1-07 WORLD TRADE CENTER,WORLD TRADE CENTER,HRA,0100,OFFICE,O,L,,,,,C,0980828,0198546,
1000621001,1,MANHATTAN,00062,1001,101,165,BROADWAY,165 BROADWAY,1 LIBERTY PLAZA,DSBS,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0981244,0197859,
1000621001,1,MANHATTAN,00062,1001,101,165,BROADWAY,165 BROADWAY,1 LIBERTY PLAZA,EDC,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0981244,0197859,
1000630003,1,MANHATTAN,00063,0003,101,14-22,CORTLANDT STREET,14-22 CORTLANDT STREET,,OLR,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0981339,0198118,
1000640106,1,MANHATTAN,00064,0106,101,,LIBERTY PLACE,LIBERTY PLACE,VENTILATION SHAFT,MTA,0890,OTHER TRANSPORTATION FACILITY,C,O,,,,,C,0981668,0197590,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,ACS,0141,FIELD OFFICE-PUBLIC,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,DCAS,0120,AGENCY OFFICE,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,DOITT,0120,AGENCY OFFICE,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,DOT,0120,AGENCY OFFICE,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,FINAN,0130,BOROUGH OFFICE,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,FINAN,0130,BOROUGH OFFICE,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,NYPD,0100,OFFICE,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,OATH,0141,FIELD OFFICE-PUBLIC,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,PROB,0100,OFFICE,P,L,,,,,C,0982037,0197460,
1000670001,1,MANHATTAN,00067,0001,101,66,JOHN STREET,66 JOHN STREET,OFFICE BLDG,SANIT,0100,OFFICE,P,L,,,,,C,0982037,0197460,
1000730002,1,MANHATTAN,00073,0002,101,,PIER 15,PIER 15,PIER 15,DSBS,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983345,0195979,
1000730002,1,MANHATTAN,00073,0002,101,,PIER 15,PIER 15,PIER 15,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983345,0195979,
1000730008,1,MANHATTAN,00073,0008,101,5,PIER 16,5 PIER 16,PIER 16,DSBS,1500,NO USE,C,O,,,,,C,0983551,0196141,
1000730008,1,MANHATTAN,00073,0008,101,5,PIER 16,5 PIER 16,PIER 16,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983551,0196141,
1000730010,1,MANHATTAN,00073,0010,101,,SOUTH STREET,SOUTH STREET,PIER 17 / SOUTH STREET SEAPORT,DSBS,1500,NO USE,C,O,,,,,C,0983839,0196288,
1000730010,1,MANHATTAN,00073,0010,101,,SOUTH STREET,SOUTH STREET,PIER 17 / SOUTH STREET SEAPORT,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983839,0196288,
1000730011,1,MANHATTAN,00073,0011,101,95,MARGINAL STREET,95 MARGINAL STREET,FORMER FULTON FISH MARKET BLDG,DSBS,1510,NO USE-NON RESIDENTIAL STRUCTURESE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983672,0196515,
1000730011,1,MANHATTAN,00073,0011,101,95,MARGINAL STREET,95 MARGINAL STREET,FORMER FULTON FISH MARKET BLDG,EDC,1510,NO USE-NON RESIDENTIAL STRUCTURESE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983672,0196515,
1000730014,1,MANHATTAN,00073,0014,101,,SOUTH STREET,SOUTH STREET,FORMER FULTON FIS MARKET BLDG,DSBS,1510,NO USE-NON RESIDENTIAL STRUCTURESE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983909,0196579,
1000730014,1,MANHATTAN,00073,0014,101,,SOUTH STREET,SOUTH STREET,FORMER FULTON FIS MARKET BLDG,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983909,0196579,
1000730017,1,MANHATTAN,00073,0017,101,,MARGINAL STREET,MARGINAL STREET,FORMERLY PIERS 19  20 & 21,DSBS,1530,NO USE-WATERFRONT (ANY AGENCY),C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0984294,0196725,
1000730017,1,MANHATTAN,00073,0017,101,,MARGINAL STREET,MARGINAL STREET,FORMERLY PIERS 19  20 & 21,PARKS,0440,PARK,C,O,,,,,C,0984294,0196725,
1000730028,1,MANHATTAN,00073,0028,103,,MARGINAL STREET,MARGINAL STREET,L.U.W. FOOT OF DOVER STREET,DSBS,1530,NO USE-WATERFRONT (ANY AGENCY),C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0984495,0197214,
1000730029,1,MANHATTAN,00073,0029,103,,,,L.U.W. UNDER BKLYN BRIDGE,DOT,0880,ROAD/HIGHWAY,C,O,,,,,C,0984719,0197030,
1000730029,1,MANHATTAN,00073,0029,103,,,,L.U.W. UNDER BKLYN BRIDGE,DSBS,1530,NO USE-WATERFRONT (ANY AGENCY),C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0984719,0197030,
1000740001,1,MANHATTAN,00074,0001,101,2,FULTON STREET,2 FULTON STREET,S ST. CPORT/BURLING SLIP/PLGRD,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983191,0196622,
1000740001,1,MANHATTAN,00074,0001,101,2,FULTON STREET,2 FULTON STREET,S ST. CPORT/BURLING SLIP/PLGRD,HPD,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983191,0196622,
1000740001,1,MANHATTAN,00074,0001,101,2,FULTON STREET,2 FULTON STREET,S ST. CPORT/BURLING SLIP/PLGRD,PARKS,0440,PARK,C,O,,,,,C,0983191,0196622,
1000740020,1,MANHATTAN,00074,0020,101,8,FULTON STREET,8 FULTON STREET,S ST. CPORT/BURLING SLIP/PLGRD,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983150,0196772,
1000740020,1,MANHATTAN,00074,0020,101,8,FULTON STREET,8 FULTON STREET,S ST. CPORT/BURLING SLIP/PLGRD,HPD,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983150,0196772,
1000740020,1,MANHATTAN,00074,0020,101,8,FULTON STREET,8 FULTON STREET,S ST. CPORT/BURLING SLIP/PLGRD,PARKS,0440,PARK,C,O,,,,,C,0983150,0196772,
1000770008,1,MANHATTAN,00077,0008,101,110-26,WILLIAM STREET,110-26 WILLIAM STREET,,ACS,0100,OFFICE,P,L,,,,,C,0982380,0197502,
1000770008,1,MANHATTAN,00077,0008,101,110-26,WILLIAM STREET,110-26 WILLIAM STREET,,DSBS,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0982380,0197502,
1000770008,1,MANHATTAN,00077,0008,101,110-26,WILLIAM STREET,110-26 WILLIAM STREET,,EDC,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0982380,0197502,
1000770008,1,MANHATTAN,00077,0008,101,110-26,WILLIAM STREET,110-26 WILLIAM STREET,,IBO,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0982380,0197502,
1000780004,1,MANHATTAN,00078,0004,101,123-33,WILLIAM STREET,123-33 WILLIAM STREET,,DYCD,0100,OFFICE,P,L,,,,,C,0982270,0197702,
1000780004,1,MANHATTAN,00078,0004,101,123-33,WILLIAM STREET,123-33 WILLIAM STREET,,HRA,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0982270,0197702,
1000860001,1,MANHATTAN,00086,0001,101,74-90,CHURCH STREET,74-90 CHURCH STREET,FDRL OFFICE BLDG-POST OFFICE,NYPD,0100,OFFICE,P,L,,,,,C,0981300,0198945,
1000930001,1,MANHATTAN,00093,0001,101,150,WILLIAM STREET,150 WILLIAM STREET,ACS HEADQUARTERS,ACS,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0982643,0197774,
1000930030,1,MANHATTAN,00093,0030,101,49,BEEKMAN STREET,49 BEEKMAN STREET,ENG 6,FIRE,0520,FIREHOUSE,C,O,,,,,C,0982749,0197927,
1000940002,1,MANHATTAN,00094,0002,101,,FULTON STREET,FULTON STREET,DELURY SQUARE PARK,PARKS,0440,PARK,C,O,,,,,C,0982843,0197617,
1000940025,1,MANHATTAN,00094,0025,101,100,GOLD STREET,100 GOLD STREET,OFFICE BLDG,AGING,0752,SENIOR CENTER,C,O,,,,,C,0983351,0197986,
1000940025,1,MANHATTAN,00094,0025,101,100,GOLD STREET,100 GOLD STREET,OFFICE BLDG,DCAS,0100,OFFICE,C,O,,,,,C,0983351,0197986,
1000940025,1,MANHATTAN,00094,0025,101,100,GOLD STREET,100 GOLD STREET,OFFICE BLDG,EDUC,0100,OFFICE,C,O,,,,,C,0983351,0197986,
1000940025,1,MANHATTAN,00094,0025,101,100,GOLD STREET,100 GOLD STREET,OFFICE BLDG,HPD,0100,OFFICE,C,O,,,,,C,0983351,0197986,
1000940025,1,MANHATTAN,00094,0025,101,100,GOLD STREET,100 GOLD STREET,OFFICE BLDG,MAYOR,0110,AGENCY EXECUTIVE OFFICE,C,O,,,,,C,0983351,0197986,
1000940025,1,MANHATTAN,00094,0025,101,100,GOLD STREET,100 GOLD STREET,OFFICE BLDG,OCB,0100,OFFICE,C,O,,,,,C,0983351,0197986,
1000940025,1,MANHATTAN,00094,0025,101,100,GOLD STREET,100 GOLD STREET,OFFICE BLDG,PARKS,0100,OFFICE,C,O,,,,,C,0983351,0197986,
1000940025,1,MANHATTAN,00094,0025,101,100,GOLD STREET,100 GOLD STREET,OFFICE BLDG,PRIV,0100,OFFICE,C,O,,,,,C,0983351,0197986,
1000950043,1,MANHATTAN,00095,0043,101,46,CLIFF STREET,46 CLIFF STREET,IND CLIFF STREET SUBSTATION,MTA,0862,TRANSIT SUBSTATION,C,O,,,,,C,0983078,0197369,
1000950101,1,MANHATTAN,00095,0101,101,206-14,WATER ST,206-14 WATER ST,SEAPORT PARK,DSBS,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983233,0197047,
1000950101,1,MANHATTAN,00095,0101,101,206-14,WATER ST,206-14 WATER ST,SEAPORT PARK,EDC,0412,PUBLIC PLACE/PLAZA,C,O,,,1910,LONG-TERM AGREEMENT,C,0983233,0197047,
1000950101,1,MANHATTAN,00095,0101,101,206-14,WATER ST,206-14 WATER ST,SEAPORT PARK,HPD,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983233,0197047,
1000960001,1,MANHATTAN,00096,0001,101,89,SOUTH STREET,89 SOUTH STREET,SOUTH ST SEAPORT (MKT BLDG),EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983436,0196764,
1000960001,1,MANHATTAN,00096,0001,101,89,SOUTH STREET,89 SOUTH STREET,SOUTH ST SEAPORT (MKT BLDG),HPD,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983436,0196764,
1000960005,1,MANHATTAN,00096,0005,101,210,FULTON STREET,210 FULTON STREET,SOUTH ST SEAPORT MUSEUM,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983335,0196955,
1000960005,1,MANHATTAN,00096,0005,101,210,FULTON STREET,210 FULTON STREET,SOUTH ST SEAPORT MUSEUM,HPD,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983335,0196955,
1000960008,1,MANHATTAN,00096,0008,101,205,FRONT ST.,205 FRONT ST.,,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983352,0196911,
1000960008,1,MANHATTAN,00096,0008,101,205,FRONT ST.,205 FRONT ST.,,HPD,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983352,0196911,
1000960012,1,MANHATTAN,00096,0012,101,201-3,FRONT ST.,201-3 FRONT ST.,,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983277,0196862,
1000960012,1,MANHATTAN,00096,0012,101,201-3,FRONT ST.,201-3 FRONT ST.,,HPD,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983277,0196862,
1000960013,1,MANHATTAN,00096,0013,101,201,FRONT STREET,201 FRONT STREET,IND 8TH AVE. ROW & VENT,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0983288,0196884,
1000960013,1,MANHATTAN,00096,0013,101,201,FRONT STREET,201 FRONT STREET,IND 8TH AVE. ROW & VENT,HPD,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0983288,0196884,
1000960013,1,MANHATTAN,00096,0013,101,201,FRONT STREET,201 FRONT STREET,IND 8TH AVE. ROW & VENT,MTA,0861,TRANSIT WAY,C,O,,,,,C,0983288,0196884,
